Type,Matter #,Name,Budget Category
MONEY MARKET SERVICES,Legacy Data,,
FREINDS OF JIM INHOFE,Legacy Data,,
MUR,4796,RAY E. NORVELL,Legacy Data
MUR,4790,E. WILLIAM CROTTY,Legacy Data
MUR,4784,VERTICCHIO FOR CONGRESS,Legacy Data
MUR,4778,RICK HILL FOR CONGRESS,Legacy Data
MUR,4777,NORTH SIDE GOOD GOVERNMENT COMMITTEE,Legacy Data
MUR,4776,ALLEGHENY TELEDYNE INC.  PAC,Legacy Data
MUR,4775,HARRY S. TRUMAN CLUB-FEDERAL,Legacy Data
MUR,4774,TECO ENERGY INC EMPLOYEES PAC,Legacy Data
MUR,4773,EMPLOYEES FEDERAL PAC- DUKE POWER COMPANY,Legacy Data
MUR,4772,SUN-LAND PRODUCTS OF CALIFORNIA,Legacy Data
MUR,4770,THURSTON COUNTY DEMOCRATIC CENTRAL COMMITTEE,Legacy Data
MUR,4769,THURSTON COUNTY DEMOCRATIC CENTRAL COMMITTEE,Legacy Data
MUR,4768,COMMITTEE FOR QUALITY ORTHOPAEDIC HEALTH CARE INC. HEALTH CARE,Legacy Data
MUR,4767,COMMITTEE TO ELECT GLENN REESE TO CONGRESS,Legacy Data
MUR,4765,GARY MILLER FOR CONGRESS,Legacy Data
MUR,4760,CROP PROTECTION ASSOCIATION PAC,Legacy Data
MUR,4756,"O'BRIEN-KREITZBERG, INC.",Legacy Data
MUR,4755,WOMEN'S ALLIANCE FOR ISRAEL,Legacy Data
MUR,4751,NEW JERSEY DEMOCRATIC STATE COMMITTEE,Legacy Data
MUR,4750,HARVEY GANTT FOR SENATE CAMPAIGN COMMITTEE,Legacy Data
MUR,4747,NAWGA & FOOD VIP PAC,Legacy Data
MUR,4746,PHILLIP CYRE,Legacy Data
MUR,4745,CONGRESSIONAL ACCOUNTABILITY PROJECT,Legacy Data
MUR,4744,MAYOR JAMES HOFFMAN,Legacy Data
MUR,4739,DIRECT VOICE and DIRECT MARKETING ASSOCIATION PAC,Legacy Data
MUR,4738,FRIENDS OF CORRINE BROWN,Legacy Data
MUR,4734,DENNIS NEWINSKI FOR CONGRESS COMMITTEE,Legacy Data
MUR,4733,FRIENDS AND TAXPAYERS FOR BOB KILBANKS,Legacy Data
MUR,4732,JUNEAU DEMOCRATIC DISTRICT COMMITTEE,Legacy Data
MUR,4731,RANDALL TERRY LIVE,Legacy Data
MUR,4730,THE CAPITAL TIMES,Legacy Data
MUR,4729,FRIENDS OF MELINDA KATZ,Legacy Data
MUR,4727,"MADISON MAGAZINE, INC.",Legacy Data
MUR,4726,COMMITTEE TO ELECT PHILIP JOHNSTON FOR CONGRESS,Legacy Data
MUR,4725,CHRIS JOHN CAMPAIGN COMMITTEE,Legacy Data
MUR,4724,FEINBERG FOR CONGRESS,Legacy Data
MUR,4723,OSCAR H. FLORES,Legacy Data
MUR,4720,"BECHTEL GROUP, INC.",Legacy Data
MUR,4718,OXLEY FOR CONGRESS,Legacy Data
MUR,4717,HOSTETTLER FOR CONGRESS,Legacy Data
MUR,4715,PEOPLE FOR MIKE CURRAN,Legacy Data
MUR,4714,MARY JANE GARCIA FOR CONGRESS,Legacy Data
MUR,4712,FOX FOR CONGRESS,Legacy Data
MUR,4709,DEMOCRATIC COUNTY EXECUTIVE COMMITTEE OF PHILADELPHIA,Legacy Data
MUR,4707,VALLEY CITIZENS FOR ACCOUNTABILITY,Legacy Data
MUR,4706,CARL LINDNER,Legacy Data
MUR,4705,FOX FOR CONGRESS & BRUCE TOLL,Legacy Data
MUR,4704,AMERICAN FAMILY LIFE ASSURANCE COMPANY (AFLAC),Legacy Data
MUR,4703,DUMONT INSTITUTE FOR PUBLIC POLICY and ROBERT MCGEE,Legacy Data
MUR,4702,D.C REPUBLICAN COMMITTEE FEDERAL CAMPAIGN COMMITTEE,Legacy Data
MUR,4701,VERMONT STATE DEMOCRATIC FEDERAL CAMPAIGN COMMITTEE,Legacy Data
MUR,4700,NALEPA '96 COMMITTEE,Legacy Data
MUR,4699,WARREN COUNTY DEMOCRATIC COMMMITTEE,Legacy Data
MUR,4698,MAYOR LOUIS BENCARDINO,Legacy Data
MUR,4697,ZIMMER FOR SENATE,Legacy Data
MUR,4696,SCHAKOWSKY FOR CONGRESS,Legacy Data
MUR,4695,SCHAKOWSKY FOR CONGRESS,Legacy Data
MUR,4694,JAN SCHAKOWSKY FOR CONGRESS,Legacy Data
MUR,4692,POLITICAL CLUB FOR GROWTH,Legacy Data
MUR,4691,BEDFORD FOR U.S. SENATE,Legacy Data
MUR,4688,AMERICAN  ROAD & TRANSPORTATION BUILDERS ASSOCIATION,Legacy Data
MUR,4685,DAL LAMAGNA FOR CONGRESS,Legacy Data
MUR,4684,SPARTANBURG COUNTY REPUBLICAN PARTY,Legacy Data
MUR,4683,SCHAKOWSKY FOR CONGRESS,Legacy Data
MUR,4681,COMMITTEE TO REELECT JACK BLOCK PORT COMMISSIONER,Legacy Data
MUR,4680,DEMOCRATIC PARTY OF OKLAHOMA,Legacy Data
MUR,4679,LAMPSON FOR CONGRESS,Legacy Data
MUR,4678,FRIENDS FOR JIM MCDERMOTT COMMITTEE,Legacy Data
MUR,4677,PATRICK KENNEDY,Legacy Data
MUR,4676,WARREN COUNTY DEMOCRATIC COMMITTEE,Legacy Data
