State,ZCTA,Congressional District
1,30165,3
1,31905,3
1,35004,3
1,35005,6
1,35005,7
1,35006,4
1,35006,6
1,35006,7
1,35007,6
1,35010,2
1,35010,3
1,35010,6
1,35013,6
1,35014,3
1,35016,4
1,35019,4
1,35019,5
1,35020,6
1,35020,7
1,35022,6
1,35022,7
1,35023,6
1,35023,7
1,35031,4
1,35031,6
1,35032,3
1,35033,4
1,35034,6
1,35034,7
1,35035,6
1,35036,6
1,35040,6
1,35042,6
1,35043,6
1,35044,3
1,35045,6
1,35046,6
1,35049,6
1,35051,6
1,35052,3
1,35053,4
1,35054,3
1,35055,4
1,35057,4
1,35058,4
1,35060,6
1,35061,6
1,35061,7
1,35062,4
1,35062,6
1,35063,4
1,35063,6
1,35064,7
1,35068,6
1,35068,7
1,35070,4
1,35071,6
1,35072,3
1,35072,6
1,35073,6
1,35074,6
1,35077,4
1,35078,6
1,35079,6
1,35080,6
1,35082,3
1,35083,4
1,35085,6
1,35087,4
1,35087,5
1,35089,3
1,35089,6
1,35091,6
1,35094,3
1,35094,6
1,35096,3
1,35097,6
1,35098,4
1,35111,6
1,35111,7
1,35112,3
1,35114,6
1,35115,6
1,35116,6
1,35117,6
1,35117,7
1,35118,6
1,35118,7
1,35119,6
1,35120,3
1,35121,3
1,35121,4
1,35121,6
1,35124,6
1,35125,3
1,35126,6
1,35127,6
1,35127,7
1,35128,3
1,35130,4
1,35130,6
1,35131,3
1,35133,3
1,35133,6
1,35135,3
1,35136,6
1,35139,6
1,35143,6
1,35146,3
1,35146,6
1,35147,6
1,35148,4
1,35148,6
1,35149,3
1,35150,3
1,35150,6
1,35151,3
1,35151,6
1,35160,3
1,35171,6
1,35172,6
1,35173,3
1,35173,6
1,35175,4
1,35175,5
1,35176,6
1,35178,3
1,35178,6
1,35179,4
1,35179,5
1,35180,6
1,35183,6
1,35184,6
1,35186,6
1,35187,6
1,35188,6
1,35188,7
1,35203,7
1,35204,7
1,35205,6
1,35205,7
1,35206,6
1,35206,7
1,35207,6
1,35207,7
1,35208,7
1,35209,6
1,35209,7
1,35210,6
1,35210,7
1,35211,6
1,35211,7
1,35212,6
1,35212,7
1,35213,6
1,35213,7
1,35214,6
1,35214,7
1,35215,6
1,35215,7
1,35216,6
1,35217,6
1,35217,7
1,35218,7
1,35221,7
1,35222,6
1,35222,7
1,35223,6
1,35223,7
1,35224,6
1,35224,7
1,35226,6
1,35226,7
1,35228,7
1,35229,6
1,35233,7
1,35234,7
1,35235,6
1,35235,7
1,35242,6
1,35243,6
1,35244,6
1,35244,7
1,35254,7
1,35401,4
1,35401,7
1,35404,4
1,35404,7
1,35405,7
1,35406,4
1,35406,7
1,35441,7
1,35442,7
1,35443,7
1,35444,4
1,35444,6
1,35444,7
1,35446,4
1,35446,7
1,35447,7
1,35452,4
1,35452,7
1,35453,4
1,35453,7
1,35456,6
1,35456,7
1,35457,4
1,35458,4
1,35459,7
1,35460,7
1,35461,7
1,35462,7
1,35463,7
1,35464,7
1,35466,4
1,35466,7
1,35469,7
1,35470,7
1,35473,4
1,35473,7
1,35474,7
1,35475,4
1,35476,4
1,35476,7
1,35477,7
1,35480,4
1,35480,7
1,35481,7
1,35490,4
1,35490,7
1,35501,4
1,35503,4
1,35504,4
1,35540,4
1,35541,4
1,35542,4
1,35543,4
1,35544,4
1,35545,4
1,35546,4
1,35548,4
1,35549,4
1,35550,4
1,35552,4
1,35553,4
1,35554,4
1,35555,4
1,35555,7
1,35559,4
1,35563,4
1,35564,4
1,35565,4
1,35570,4
1,35571,4
1,35572,4
1,35574,4
1,35574,7
1,35575,4
1,35576,4
1,35576,7
1,35577,4
1,35578,4
1,35579,4
1,35580,4
1,35581,4
1,35582,4
1,35584,4
1,35585,4
1,35586,4
1,35587,4
1,35592,4
1,35593,4
1,35594,4
1,35601,5
1,35603,4
1,35603,5
1,35610,5
1,35611,5
1,35613,5
1,35614,5
1,35615,5
1,35616,4
1,35618,4
1,35619,4
1,35619,5
1,35620,5
1,35621,4
1,35621,5
1,35622,4
1,35622,5
1,35630,5
1,35633,5
1,35634,5
1,35640,5
1,35643,4
1,35645,5
1,35646,4
1,35647,5
1,35648,5
